Date,High,Low,Open,Close,Volume,Adj Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sar,sarext,sma,t3,tema,trima,wma,rsi,slowk,slowd,fastk,fastd,macd,macdsignal,macdhist,adx,willr,cci,atr,ultosc,roc
2020-03-02,21593.109375,20834.2890625,20849.7890625,21344.080078125,123700000,21344.080078125,23045.32581635786,21893.37421875,20741.422621142137,,23080.043194303682,,22765.97795759756,23278.517447916667,22502.0859375,22371.5693359375,23760.32039280125,-23538.130388507503,23278.517447916667,22868.710172309446,21146.96784633916,23419.02598470052,23007.698487903224,29.269799446177704,12.622816503078624,12.321229662581151,29.391125610764412,9.79704187025481,-511.8606824670278,-295.0453786661143,-216.8153038009135,20.973254659989042,-83.41906077786777,-147.821368662423,444.2577964680236,35.43909593710092,-9.893407396376963
2020-03-03,21719.779296875,21082.73046875,21651.990234375,21082.73046875,105300000,21082.73046875,22626.211128790008,21588.83828125,20551.46543370999,,22951.18430878409,,22607.409514208608,23179.8998046875,22471.970703125,22371.5693359375,23614.01882628619,-23267.746255906754,23179.8998046875,22629.807462824367,20966.98261851107,23375.614379882812,22866.034811827958,27.409729311611848,15.961987891715246,13.035888323176188,17.895171225387614,15.762098945384016,-586.5444567019513,-353.34519427328166,-233.1992624286696,23.023621597122922,-91.91944987056712,-115.91150448754189,458.02858444352194,32.384043420724986,-10.374887733615168
2020-03-04,21245.9296875,20862.05078125,20897.19921875,21100.060546875,94600000,21100.060546875,21975.50276340233,21323.6125,20671.722236597667,,22831.756969306083,,22462.740051598656,23080.451497395832,22455.23046875,22371.5693359375,23475.03233809688,-23024.400536566078,23080.451497395832,22390.520790086608,20950.193194627893,23322.316772460938,22731.85163390457,27.73599655944285,19.29659253526911,15.960465643354325,37.9470762783376,28.411124371496545,-636.9906615461005,-410.07428772784544,-226.916373818255,25.14582242317119,-91.35578954055299,-111.12246921806388,452.73217885827034,34.38869120630281,-9.027154514785652
2020-03-05,21399.869140625,21220.759765625,21399.869140625,21329.119140625,85700000,21329.119140625,21426.81286458023,21199.790234375,20972.767604169767,,22734.81259326214,,22378.450465528193,22995.936783854166,22385.16015625,22320.4248046875,23342.995174317035,-22805.38938915947,22995.936783854166,22173.84646378149,21145.14866314244,23260.125154622394,22618.862449596774,32.06041065363562,29.892985161208216,21.71718852939752,99.99999999999999,51.947415834575075,-650.9824081585102,-458.2559118139784,-192.72649634453182,26.64043295841006,-83.35178732069788,-79.83594232043002,441.80906563625103,38.02495053602812,-8.85264178971682
2020-03-06,21061.19921875,20613.91015625,21009.80078125,20749.75,111700000,20749.75,21552.71057405299,21121.148046875,20689.58551969701,,22606.74403885813,,22212.097022379716,22886.550130208332,22136.4951171875,22210.2353515625,23217.559868726185,-22608.279356493524,22886.550130208332,21967.302603839908,20849.605040552833,23185.12257486979,22473.947173219087,27.58661925966905,28.882661340986814,26.02407967915471,7.432142281160231,48.4597395198326,-700.7434811593048,-506.7534256830437,-193.9900554762611,28.63030945921943,-95.74523273362831,-100.28860554123504,461.3376312604474,34.049558384946586,-11.624783457730326
2020-03-09,20347.189453125,19472.259765625,20343.310546875,19698.759765625,170300000,19698.759765625,21946.166031550394,20792.083984375,19638.001937199606,,22419.132150262445,,21899.564023390794,22749.994140625,21588.955078125,21639.41015625,23061.340885977614,-22368.955052464302,22749.994140625,21733.28866657553,19999.56411511566,23094.348282877603,22268.28327872984,21.700991722997134,26.081120544294297,28.285589015496438,0.0,35.81071409372007,-815.5840729344673,-568.5195551333284,-247.0645178011389,31.25964961351575,-94.77424361087654,-142.83090951073805,519.6342457686297,31.835477782761494,-15.769536206372281
2020-03-10,19970.349609375,18891.76953125,19474.890625,19867.119140625,164700000,19867.119140625,21857.52554756278,20548.96171875,19240.397889937223,,22254.486149640674,,21666.47536174531,22617.992122395834,21588.955078125,21349.1650390625,22810.10520755293,-21963.4177123068,22617.992122395834,21482.688337322918,19780.04965794847,22988.78952636719,22082.291343245968,24.46687343955438,20.416435649984717,25.12673917842194,27.709889102236346,11.714010461132196,-882.8341126678897,-631.3824666402406,-251.45164602764908,33.988417130305066,-80.15481011757797,-137.23777112013843,559.558948079799,42.743380830554315,-12.11343212398166
2020-03-11,19974.830078125,19392.25,19758.259765625,19416.060546875,129200000,19416.060546875,21641.289582720525,20212.16171875,18783.033854779478,,22071.36191720418,,21410.267095008483,22487.0771484375,21447.60546875,21349.1650390625,22496.638353448696,-21471.954003337712,22487.0771484375,21215.602207270844,19415.255817364858,22868.756599934895,21875.715112567203,22.21434758204812,23.289895091468463,23.26248376191582,6.0919941320672155,11.267294411434522,-961.4439847505673,-697.394770262306,-264.0492144882613,36.51057641160718,-89.3323843484253,-124.21716068630106,561.2033145115992,36.845250946639716,-13.422382400459698
2020-03-12,19142.1796875,18339.26953125,19064.509765625,18559.630859375,164600000,18559.630859375,21073.11652276023,19658.2640625,18243.41160223977,,21844.798623150684,,21034.740665434252,22331.874479166665,20973.185546875,20963.91015625,22208.2488476728,-21059.124487803678,22331.874479166665,20914.506638554805,18699.819962291018,22729.176342773437,21622.331481014786,18.710136622757208,22.629228158667175,22.11185296670678,0.0,11.267294411434522,-1080.3954666130558,-773.994909532456,-306.4005570805998,39.28350242070467,-95.80206665198212,-162.26524143977238,598.0310074482705,37.1004578001908,-15.439056074245737
2020-03-13,18184.4609375,16690.599609375,18183.470703125,17431.05078125,233400000,17431.05078125,20798.66255111585,18994.52421875,17190.385886384152,,21560.040697866767,,20428.16291028105,22133.596158854165,20018.23046875,19820.4150390625,21860.04070919475,-20569.550595624016,22133.596158854165,20552.379129631205,17647.23079359881,22563.624886067708,21306.149306955645,15.302052807893881,16.41648830520294,20.778537185112857,0.0,2.0306647106890736,-1251.3080530325205,-869.4575382324689,-381.85051480005166,42.29688605674687,-88.17100898584087,-184.82991145714928,688.8167390591085,36.956620216934894,-17.556245632873534
